Wall time,Step,Value
1715036329.5002062,4526,3.9518470764160156
1715036339.239298,4536,3.979827404022217
1715036343.110648,4540,3.993669271469116
1715036367.2557445,4565,3.980616807937622
1715036371.1532197,4569,3.9894556999206543
1715036376.9526477,4575,3.8234739303588867
1715036384.652938,4583,4.081525802612305
1715036407.8980877,4607,3.9670956134796143
1715036410.8020291,4610,3.986466407775879
1715036413.7186227,4613,3.9137063026428223
1715036449.5016208,4650,3.9643499851226807
1715036454.3444757,4655,3.801610231399536
1715036458.2306678,4659,3.878746747970581
1715036459.2028549,4660,3.9142351150512695
1715036462.0813463,4663,3.880842924118042
1715036466.925493,4668,3.9745311737060547
1715036477.5661361,4679,3.9113576412200928
1715036485.2961764,4687,4.117466449737549
1715036489.195626,4691,3.921478271484375
1715036491.1395664,4693,3.8906614780426025
1715036496.9021463,4699,4.040457725524902
1715036505.3801532,4707,3.934288263320923
1715036506.332863,4708,3.97959041595459
1715036512.1090643,4714,4.024475574493408
1715036515.0295727,4717,3.9056169986724854
1715036528.633129,4731,4.061466217041016
1715036535.4436016,4738,3.913228988647461
1715036556.786529,4760,4.050321102142334
1715036563.536795,4767,3.953864812850952
1715036569.3394237,4773,3.964590311050415
1715036573.2887313,4777,3.8519554138183594
1715036574.2605858,4778,4.033252239227295
1715036600.3991902,4805,3.9414076805114746
1715036603.3170269,4808,4.0231146812438965
1715036606.2312567,4811,3.9464805126190186
1715036610.1216242,4815,3.83207368850708
1715036625.613422,4831,4.027908802032471
1715036627.5387805,4833,4.0769805908203125
1715036629.4929247,4835,3.9700915813446045
1715036630.445599,4836,3.926776885986328
1715036631.417942,4837,3.9463369846343994
1715036639.1445277,4845,3.9863784313201904
1715036676.003531,4883,4.012110710144043
1715036688.5177064,4896,3.846372127532959
1715036703.7724519,4911,4.016425609588623
1715036722.1685445,4930,4.065710544586182
1715036726.059786,4934,3.954974412918091
1715036732.8666284,4941,3.9549262523651123
1715036736.74467,4945,3.8999063968658447
1715036741.5974722,4950,3.9593026638031006
1715036771.7180867,4981,4.121316909790039
1715036781.3716865,4991,3.847020149230957
1715036782.3249545,4992,3.8915092945098877
1715036835.7611415,5024,4.072717189788818
1715036859.0499084,5048,3.934119462966919
1715036872.598023,5062,3.985006809234619
1715036877.4504766,5067,3.994600534439087
1715036890.0546553,5080,3.9932727813720703
1715036891.0266142,5081,3.939981698989868
1715036898.7401605,5089,3.9399406909942627
1715036900.64465,5091,3.8567988872528076
1715036904.7758303,5096,4.130690574645996
1715036942.0454648,5133,3.9262425899505615
1715036945.9149256,5137,3.9792568683624268
1715036949.7890902,5141,3.965214729309082
1715036960.4664593,5152,3.9377236366271973
1715036961.4390137,5153,3.9298369884490967
1715036963.3446045,5155,3.9582161903381348
1715036964.2970214,5156,3.951472282409668
1715036995.2792213,5188,3.9649569988250732
1715037005.9562786,5199,3.8268730640411377
1715037007.9005306,5201,3.9238781929016113
1715037012.7593958,5206,3.910595655441284
1715037014.7041948,5208,3.892376184463501
1715037019.5645018,5213,4.047801971435547
1715037025.4146755,5219,3.86527943611145
1715037032.1839485,5226,3.9351017475128174
1715037044.7444983,5239,4.025975704193115
1715037059.3088436,5254,3.970017910003662
1715037064.1444263,5259,3.8447141647338867
1715037068.0155694,5263,3.8906610012054443
1715037070.893781,5266,3.871595621109009
1715037091.0934165,5287,3.8343851566314697
1715037100.5914848,5296,3.81183123588562
1715037122.8450253,5319,4.007713317871094
1715037123.8031702,5320,3.827270269393921
1715037126.7194915,5323,4.075981140136719
1715037128.6574185,5325,3.863889455795288
1715037132.521357,5329,3.931673765182495
1715037138.3363407,5335,3.8764867782592773
1715037165.4117966,5363,4.049769878387451
1715037173.1903582,5371,3.825796365737915
1715037195.442383,5394,4.017501354217529
1715037204.1843755,5403,3.842074394226074
1715037205.156582,5404,3.951258420944214
1715037218.6292498,5418,3.966916561126709
1715037225.403827,5425,3.8306052684783936
1715037245.7613232,5446,3.8673765659332275
1715037252.528941,5453,3.928903579711914
1715037254.4813008,5455,3.9513673782348633
1715037257.4079144,5458,4.094131946563721
1715037259.3141627,5460,4.004266738891602
1715037303.5546556,5505,3.949827194213867
1715037308.426499,5510,4.06846809387207
1715037309.3987474,5511,4.131834506988525
1715037316.1847537,5518,3.9383912086486816
1715037320.0539923,5522,3.7858517169952393
1715037321.960243,5524,3.9940154552459717
1715037343.1770444,5546,3.811717987060547
1715037364.4513636,5568,3.988118886947632
1715037400.214174,5605,3.873135566711426
1715037438.0963,5644,3.961362838745117
1715037447.7884746,5654,3.8651797771453857
1715037461.3914003,5668,3.999558687210083
1715037481.5748274,5688,4.0157060623168945
1715037516.47538,5724,3.9702000617980957
1715037523.2924726,5731,3.806572914123535
1715037532.970524,5741,4.043431758880615
1715037544.5439308,5753,3.968082904815674
1715037547.4228075,5756,3.9365720748901367
1715037549.3495357,5758,3.8764240741729736
1715037550.3213975,5759,3.881208896636963
1715037563.884575,5773,3.9774868488311768
1715037572.6253471,5782,3.9303395748138428
1715037580.4044182,5790,4.081159591674805
1715037622.0384336,5833,3.746471405029297
1715037654.9724844,5867,4.020731449127197
1715037666.817444,5880,3.9954745769500732
1715037669.2778971,5881,4.070713996887207
1715037671.1940362,5883,3.963111162185669
1715037735.0725794,5949,3.771304130554199
1715037739.926372,5954,3.9195024967193604
1715037742.8443768,5957,3.912200689315796
1715037750.5324478,5965,3.912868022918701
1715037766.9273703,5982,4.065695762634277
1715037775.6283622,5991,3.8667211532592773
1715037782.4344347,5998,3.9155585765838623
1715037788.2540467,6004,3.8818981647491455
1715037794.0265472,6010,3.9303300380706787
1715037794.9991202,6011,3.8948006629943848
1715037828.8784091,6046,3.9321885108947754
1715037836.617901,6054,3.921180009841919
1715037859.6140091,6077,3.954897403717041
1715037861.5793414,6079,3.8927245140075684
1715037862.5320935,6080,3.931490421295166
1715037889.6584046,6108,3.908951997756958
1715037893.5085325,6112,3.9190850257873535
1715037895.4529731,6114,4.01807165145874
1715037914.853088,6134,3.8429415225982666
1715037919.6857758,6139,3.926060199737549
1715037921.639355,6141,4.04042387008667
1715037923.5834582,6143,3.8685946464538574
1715037948.8072867,6169,3.979097843170166
1715037984.6488705,6206,4.057791233062744
1715037990.4394999,6212,3.8545334339141846
1715038000.127465,6222,3.885499954223633
1715038004.0085177,6226,3.9177844524383545
1715038007.880598,6230,3.8511714935302734
1715038014.6587899,6237,3.8414149284362793
1715038021.438015,6244,3.9183337688446045
1715038029.15023,6252,3.924499034881592
1715038057.022475,6280,3.939725637435913
1715038058.9496505,6282,3.8791825771331787
1715038065.735721,6289,3.968698024749756
1715038073.5036135,6297,3.909785032272339
1715038074.4755456,6298,4.015987873077393
1715038077.3735223,6301,3.861689329147339
1715038090.937952,6315,3.97355580329895
1715038104.3846717,6329,3.840724468231201
1715038108.25348,6333,3.9474546909332275
1715038110.200157,6335,3.951202630996704
1715038122.8227985,6348,4.0305962562561035
1715038133.4643319,6359,3.810192346572876
1715038134.4475849,6360,3.8694920539855957
1715038139.3105342,6365,3.95009708404541
1715038141.2544649,6367,4.031364917755127
1715038144.1634886,6370,3.993126153945923
1715038180.0746017,6407,3.921234130859375
1715038197.4658175,6425,3.8769121170043945
1715038215.8655627,6444,3.9669902324676514
1715038221.650791,6450,3.9100306034088135
1715038231.3275337,6460,3.967224359512329
1715038245.732494,6474,3.949413299560547
1715038263.118008,6492,3.9205682277679443
1715038266.015679,6495,3.980257987976074
1715038266.9685826,6496,3.949073314666748
1715038298.828178,6529,3.989156484603882
1715038301.7264774,6532,3.896531820297241
1715038310.4162555,6541,3.872786521911621
1715038316.2343817,6547,3.8968894481658936
1715038321.104376,6552,4.089554786682129
1715038322.0767689,6553,3.875260829925537
1715038333.6977346,6565,4.06259822845459
1715038338.5521023,6570,3.8980164527893066
1715038354.060548,6586,3.9771840572357178
1715038358.93368,6591,4.02716588973999
1715038363.7553625,6596,3.8281044960021973
1715038367.6565652,6600,3.963315010070801
1715038383.1983907,6616,3.8578577041625977
1715038396.7814634,6630,4.0481109619140625
1715038416.1635945,6650,3.9912877082824707
1715038427.6755328,6662,3.8578577041625977
1715038440.2014303,6674,3.8473732471466064
1715038474.162236,6709,3.939821243286133
1715038480.9772902,6716,3.7417147159576416
1715038485.807515,6721,3.972654104232788
1715038487.7532768,6723,4.041157245635986
1715038489.6885376,6725,3.9021847248077393
1715038495.4805224,6731,4.0327839851379395
1715038499.4262471,6735,3.9377834796905518
1715038514.974238,6751,3.9148037433624268
1715038525.6074653,6762,3.849358081817627
1715038527.5532224,6764,3.8686914443969727
1715038540.1426985,6777,3.993377923965454
1715038548.8731384,6786,3.884948253631592
1715038565.3353324,6803,3.9638240337371826
1715038583.752342,6822,3.9545021057128906
1715038593.4801369,6832,3.851562738418579
1715038599.3124444,6838,4.073548316955566
1715038604.1159632,6843,3.8457860946655273
1715038606.0403788,6845,3.882673740386963
1715038611.8612642,6851,3.898841619491577
1715038619.8012288,6860,3.8857581615448
1715038636.7466056,6876,3.9793882369995117
1715038674.4772644,6915,4.014719009399414
1715038676.402179,6917,3.96299147605896
1715038679.3183334,6920,3.9047646522521973
1715038689.9942718,6931,3.8468782901763916
1715038696.774238,6938,3.7887823581695557
1715038718.1561146,6960,3.975411891937256
1715038733.6209013,6976,3.9237632751464844
1715038749.1236043,6992,3.8672971725463867
1715038753.9502535,6997,3.705404043197632
1715038755.8552263,6999,4.090200901031494
1715038758.747972,7002,3.856922149658203
1715038769.405224,7013,3.91690993309021
1715038775.1913981,7019,3.921942949295044
1715038784.9229379,7029,3.797424077987671
1715038785.8755825,7030,3.8855462074279785
1715038800.442286,7045,3.891944646835327
1715038809.0409021,7054,3.9520933628082275
1715038809.993548,7055,3.9815540313720703
1715038842.9793417,7088,3.974773406982422
1715038865.2206275,7111,3.948477029800415
1715038872.0051048,7118,3.917266845703125
1715038874.9022474,7121,3.8918917179107666
1715038880.6874657,7127,3.835237979888916
1715038917.4307358,7165,3.9671289920806885
1715038930.0205588,7178,3.9731862545013428
1715038930.9925,7179,3.912334442138672
1715038932.9459732,7181,3.954744815826416
1715038938.703103,7187,3.8982582092285156
1715038941.601415,7190,3.9095871448516846
1715038959.0520194,7208,3.8788559436798096
1715038976.4345603,7226,3.755577325820923
1715038999.582668,7250,3.915259838104248
